,path,label,predict,score
0,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20170503_09571846.jpg,1,1,"[-1.957220435142517, 1.8402063846588135]"
1,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/c9466_img20170504_15382610.jpg,1,1,"[-6.105316162109375, 7.218082427978516]"
2,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20161121_11282913.jpg,1,0,"[0.5831118822097778, -0.5222934484481812]"
3,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/c8040_img20161122_09560484.jpg,1,1,"[-3.190851926803589, 3.3647255897521973]"
4,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/c785_img20170413_09541397.jpg,1,1,"[-1.9172403812408447, 1.8118864297866821]"
5,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20170419_16424273.jpg,1,1,"[-2.4593958854675293, 2.9111344814300537]"
6,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20161122_14460274.jpg,1,1,"[-1.5099756717681885, 1.8885349035263062]"
7,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/negative/c1497_img20170413_15374956.jpg,0,0,"[2.8871381282806396, -2.17685866355896]"
8,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20170505_09513294.jpg,1,1,"[-0.7718724608421326, 1.0430750846862793]"
9,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20161119_14153696.jpg,1,1,"[-4.419117450714111, 5.027083873748779]"
10,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20161121_11162042.jpg,1,1,"[-2.868452787399292, 2.8955841064453125]"
11,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20170406_10333646.jpg,1,1,"[-5.886202335357666, 6.7840776443481445]"
12,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/negative/c7080_img20170405_11035724.jpg,0,0,"[3.1734488010406494, -2.6994075775146484]"
13,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/c428_img20161118_14503209.jpg,1,1,"[-3.4877395629882812, 3.617530107498169]"
14,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20170505_11075398.jpg,1,1,"[-6.622834205627441, 7.94759464263916]"
15,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/c965_img20170421_09431103.jpg,1,1,"[-1.297336220741272, 1.9097248315811157]"
16,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/negative/c9547_img20170420_17544214.jpg,0,0,"[1.7836052179336548, -2.180353879928589]"
17,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/img20170406_14081080.jpg,1,1,"[-5.442935943603516, 6.357178211212158]"
18,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/negative/c1617_img20170406_15424556.jpg,0,0,"[2.9998676776885986, -2.384877920150757]"
19,/home/njuciairs/Hejia/xRaydata/zipXrayImages/twoClasses_val/positive/c4286_img20161118_14503209.jpg,1,1,"[-3.4877395629882812, 3.617530107498169]"
