,path,label,predict,score
0,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170427_16314577.jpg,1,0,"[3.4180374145507812, -0.13468165695667267, -3.209650754928589]"
1,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c9159_img20161118_17591408.jpg,2,1,"[-0.8404567837715149, 5.001510143280029, -3.934149980545044]"
2,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170502_15133151.jpg,1,0,"[2.7027647495269775, -0.8931300044059753, -1.6047016382217407]"
3,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170427_16580649.jpg,1,0,"[2.1338272094726562, -2.3896758556365967, 0.23875145614147186]"
4,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c9356_img20161121_10513657.jpg,2,1,"[-0.1719944328069687, 5.205947399139404, -4.822586536407471]"
5,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170427_13382024.jpg,1,0,"[2.8705713748931885, -2.472217559814453, -0.5897063612937927]"
6,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/3/img20161118_14503209.jpg,3,2,"[-1.6658416986465454, -1.8130801916122437, 3.146453380584717]"
7,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170424_17531096.jpg,1,0,"[3.1374928951263428, -1.6792954206466675, -1.5816349983215332]"
8,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c4255_img20170421_09431103.jpg,2,1,"[-0.2860216796398163, 2.6028096675872803, -2.098816394805908]"
9,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/img20170428_17021033.jpg,0,1,"[0.9556125998497009, 3.6754086017608643, -4.3988518714904785]"
10,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c8621_img20170425_10242463.jpg,0,1,"[-1.5092427730560303, 5.067315101623535, -3.2695043087005615]"
11,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170509_09402113.jpg,1,0,"[3.4464364051818848, -0.7481498718261719, -2.6882293224334717]"
12,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c537_img20170505_11283544.jpg,2,1,"[-0.3828079402446747, 4.51101016998291, -3.8238532543182373]"
